"MapPointID","MapPointName","MapPointType","lat","lon"
137,"bab_to_wren","waypoint",42.230656,-71.326001
138,"bab_to_wren","waypoint",42.230656,-71.326001
139,"bab_to_wren","waypoint",42.201184,-71.323029
140,"bab_to_wren","waypoint",42.201184,-71.323029
141,"bab_to_wren","waypoint",42.186637,-71.305422
142,"bab_to_wren","waypoint",42.187114,-71.304124
143,"bab_to_wren","waypoint",42.179665,-71.296174
144,"bab_to_wren","waypoint",42.173018,-71.298352
145,"bab_to_wren","waypoint",42.173018,-71.298352
146,"bab_to_wren","waypoint",42.120421,-71.31094
147,"bab_to_wren","waypoint",42.117217,-71.310099
148,"bab_to_wren","waypoint",42.109258,-71.316161
149,"bab_to_wren","waypoint",42.101878,-71.31996
150,"bab_to_wren","waypoint",42.097945,-71.315325
151,"bab_to_wren","waypoint",42.092372,-71.316688
152,"bab_to_wren","waypoint",42.083383,-71.326687
153,"wren_to_lunch","waypoint",42.082754,-71.31819
154,"wren_to_lunch","waypoint",42.082778,-71.316827
155,"wren_to_lunch","waypoint",42.071789,-71.307321
156,"wren_to_lunch","waypoint",42.080206,-71.284984
157,"wren_to_lunch","waypoint",42.076742,-71.278321
158,"wren_to_lunch","waypoint",42.075715,-71.270457
159,"wren_to_lunch","waypoint",42.070865,-71.269019
160,"wren_to_lunch","waypoint",42.056607,-71.26771
161,"wren_to_lunch","waypoint",42.058471,-71.264084
162,"wren_to_lunch","waypoint",42.051883,-71.259224
163,"wren_to_lunch","waypoint",42.047135,-71.261262
164,"wren_to_lunch","waypoint",42.045717,-71.259717
165,"wren_to_lunch","waypoint",42.036816,-71.270452
166,"wren_to_lunch","waypoint",42.030313,-71.263564
167,"wren_to_lunch","waypoint",42.029269,-71.265828
168,"wren_to_lunch","waypoint",42.021116,-71.260431
169,"wren_to_lunch","waypoint",41.999593,-71.272616
170,"wren_to_lunch","waypoint",41.975727,-71.246999
171,"wren_to_lunch","waypoint",41.950464,-71.228149
172,"wren_to_lunch","waypoint",41.950408,-71.227441
173,"wren_to_lunch","waypoint",41.944758,-71.21977
174,"wren_to_lunch","waypoint",41.943896,-71.220811
175,"wren_to_lunch","waypoint",41.93467,-71.221326
176,"wren_to_lunch","waypoint",41.924661,-71.228171
177,"wren_to_lunch","waypoint",41.905455,-71.22214
178,"wren_to_lunch","waypoint",41.903938,-71.21816
179,"wren_to_lunch","waypoint",41.897661,-71.219458
180,"wren_to_lunch","waypoint",41.888235,-71.207624
181,"wren_to_lunch","waypoint",41.875421,-71.209903
182,"wren_to_lunch","waypoint",41.85197,-71.202028
183,"wren_to_lunch","waypoint",41.851946,-71.199678
184,"stur_to_whit","waypoint",42.111891,-72.087195
185,"stur_to_whit","waypoint",42.106167,-71.68397
186,"whit_to_frank","waypoint",42.095666,-71.643973
187,"whit_to_frank","waypoint",42.056275,-71.41965
188,"frank_to_lunch","waypoint",42.055184,-71.422568
189,"frank_to_lunch","waypoint",41.851921,-71.19944
190,"dr_to_mma","waypoint",41.851088,-71.195232
191,"dr_to_mma","waypoint",41.742584,-70.618693
192,"mma_to_pat","waypoint",41.742584,-70.618693
193,"mma_to_pat","waypoint",42.085339,-71.257104
194,"mma_to_barn","waypoint",41.745191,-70.615576
195,"mma_to_barn","waypoint",41.751917,-70.592264
196,"mma_to_barn","waypoint",41.743539,-70.586394
197,"mma_to_barn","waypoint",41.768044,-70.523044
198,"mma_to_barn","waypoint",41.696024,-70.344294
199,"barn_to_brew","waypoint",41.7051,-70.223972
200,"barn_to_brew","waypoint",41.756262,-70.090407
201,"brew_to_ptown","waypoint",42.039242,-70.199969
