"RouteID","RouteType","RouteName","RouteDescription","RouteSegmentSequence","SegmentID","SegmentMapPointSequence","MapPointID","MapPointName","MapPointType","lat","lon"
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,45,65,"med_to_pat","waypoint",42.140956,-71.312099
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,46,66,"med_to_pat","waypoint",42.122974,-71.311123
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,47,67,"med_to_pat","waypoint",42.120467,-71.31078
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,48,68,"med_to_pat","waypoint",42.121478,-71.303806
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,49,69,"med_to_pat","waypoint",42.111936,-71.283915
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,50,70,"med_to_pat","waypoint",42.107932,-71.283443
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,51,71,"med_to_pat","waypoint",42.103323,-71.28163
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,52,72,"med_to_pat","waypoint",42.101206,-71.276255
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,53,73,"med_to_pat","waypoint",42.10119,-71.269496
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,54,74,"med_to_pat","waypoint",42.104414,-71.266288
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,55,75,"med_to_pat","waypoint",42.105035,-71.261481
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,56,76,"med_to_pat","waypoint",42.102161,-71.25911
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,57,77,"med_to_pat","waypoint",42.095705,-71.256042
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,58,78,"med_to_pat","waypoint",42.085992,-71.256278
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,59,79,"med_to_pat","waypoint",42.085339,-71.257104
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,60,12,NA,NA,NA,NA
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,1,12,NA,NA,NA,NA
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,2,80,"pat_to_wal","waypoint",42.085002,-71.257779
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,3,81,"pat_to_wal","waypoint",42.074678,-71.259244
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,4,82,"pat_to_wal","waypoint",42.074678,-71.259244
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,5,83,"pat_to_wal","waypoint",42.076374,-71.245801
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,6,84,"pat_to_wal","waypoint",42.074025,-71.238484
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,7,85,"pat_to_wal","waypoint",42.079153,-71.232808
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,8,86,"pat_to_wal","waypoint",42.084815,-71.231091
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,9,87,"pat_to_wal","waypoint",42.098087,-71.218013
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,10,88,"pat_to_wal","waypoint",42.09999,-71.216425
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,11,89,"pat_to_wal","waypoint",42.10319,-71.209494
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,12,90,"pat_to_wal","waypoint",42.108897,-71.210567
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,13,91,"pat_to_wal","waypoint",42.110298,-71.210824
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,14,92,"pat_to_wal","waypoint",42.116673,-71.208453
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,15,93,"pat_to_wal","waypoint",42.116673,-71.208453
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,16,94,"pat_to_wal","waypoint",42.116673,-71.208453
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,17,95,"pat_to_wal","waypoint",42.124973,-71.209129
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,18,96,"pat_to_wal","waypoint",42.12954,-71.210899
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,19,97,"pat_to_wal","waypoint",42.135674,-71.208292
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,20,98,"pat_to_wal","waypoint",42.140352,-71.209923
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,21,99,"pat_to_wal","waypoint",42.140273,-71.218506
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,22,100,"pat_to_wal","waypoint",42.142302,-71.222229
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,23,101,"pat_to_wal","waypoint",42.153001,-71.215481
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,24,102,"pat_to_wal","waypoint",42.15592,-71.224504
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,25,103,"pat_to_wal","waypoint",42.155117,-71.228828
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,26,104,"pat_to_wal","waypoint",42.155252,-71.230201
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,27,105,"pat_to_wal","waypoint",42.1593,-71.23446
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,28,106,"pat_to_wal","waypoint",42.158481,-71.2377
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,29,107,"pat_to_wal","waypoint",42.160119,-71.240371
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,30,108,"pat_to_wal","waypoint",42.162211,-71.237549
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,31,13,NA,NA,NA,NA
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,32,109,"wal_to_bab","waypoint",42.163794,-71.236608
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,33,110,"wal_to_bab","waypoint",42.201554,-71.249127
