"RouteID","RouteType","RouteName","RouteDescription","RouteSegmentSequence","SegmentID","SegmentWaypointSequence","WaypointID","WaypointName","WaypointType","X","lat","lon"
3,"2 Day","Sturbridge to Babson","Sturbridge to Babson",4,9,4,14,"Babson","waterstop",NA,42.295962,-71.263598
4,"2 Day","Babson to P-Town Inn","Babson to P-Town Inn",1,6,1,14,"Babson","waterstop",NA,42.295962,-71.263598
4,"2 Day","Babson to P-Town Inn","Babson to P-Town Inn",1,6,2,16,"Wrentham","waterstop",NA,42.083569,-71.326356
4,"2 Day","Babson to P-Town Inn","Babson to P-Town Inn",1,6,3,4,"Dighton Rehoboth","waterstop",NA,41.8519348,-71.2030106
4,"2 Day","Babson to P-Town Inn","Babson to P-Town Inn",2,2,1,4,"Dighton Rehoboth","waterstop",NA,41.8519348,-71.2030106
4,"2 Day","Babson to P-Town Inn","Babson to P-Town Inn",2,2,2,5,"Wareham","waterstop",NA,41.7544763,-70.6988275
4,"2 Day","Babson to P-Town Inn","Babson to P-Town Inn",2,2,3,6,"Mass Maritime Academy","waterstop",NA,41.7408513,-70.6220555
4,"2 Day","Babson to P-Town Inn","Babson to P-Town Inn",3,3,1,6,"Mass Maritime Academy","waterstop",NA,41.7408513,-70.6220555
4,"2 Day","Babson to P-Town Inn","Babson to P-Town Inn",3,3,2,7,"Barnstable","waterstop",NA,41.693277,-70.2867777
4,"2 Day","Babson to P-Town Inn","Babson to P-Town Inn",3,3,3,8,"Brewster","waterstop",NA,41.775664,-70.0328457
4,"2 Day","Babson to P-Town Inn","Babson to P-Town Inn",4,4,1,8,"Brewster","waterstop",NA,41.775664,-70.0328457
4,"2 Day","Babson to P-Town Inn","Babson to P-Town Inn",4,4,2,18,"Orleans","waypoint",NA,41.786517,-69.993219
4,"2 Day","Babson to P-Town Inn","Babson to P-Town Inn",4,4,3,19,"Dunes 1","waypoint",NA,41.836695,-69.974247
4,"2 Day","Babson to P-Town Inn","Babson to P-Town Inn",4,4,4,20,"Dunes 2","waypoint",NA,41.915542,-69.988282
4,"2 Day","Babson to P-Town Inn","Babson to P-Town Inn",4,4,5,21,"Dunes 3","waypoint",NA,42.034514,-70.080342
4,"2 Day","Babson to P-Town Inn","Babson to P-Town Inn",4,4,6,22,"Dunes 4","waypoint",NA,42.065769,-70.153044
4,"2 Day","Babson to P-Town Inn","Babson to P-Town Inn",4,4,7,9,"P-Town Inn","waterstop",NA,42.037038,-70.1984947
5,"2 Day","Babson to P-Town Family Finish","Babson to P-Town Family Finish",1,6,1,14,"Babson","waterstop",NA,42.295962,-71.263598
5,"2 Day","Babson to P-Town Family Finish","Babson to P-Town Family Finish",1,6,2,16,"Wrentham","waterstop",NA,42.083569,-71.326356
5,"2 Day","Babson to P-Town Family Finish","Babson to P-Town Family Finish",1,6,3,4,"Dighton Rehoboth","waterstop",NA,41.8519348,-71.2030106
5,"2 Day","Babson to P-Town Family Finish","Babson to P-Town Family Finish",2,2,1,4,"Dighton Rehoboth","waterstop",NA,41.8519348,-71.2030106
5,"2 Day","Babson to P-Town Family Finish","Babson to P-Town Family Finish",2,2,2,5,"Wareham","waterstop",NA,41.7544763,-70.6988275
5,"2 Day","Babson to P-Town Family Finish","Babson to P-Town Family Finish",2,2,3,6,"Mass Maritime Academy","waterstop",NA,41.7408513,-70.6220555
5,"2 Day","Babson to P-Town Family Finish","Babson to P-Town Family Finish",3,3,1,6,"Mass Maritime Academy","waterstop",NA,41.7408513,-70.6220555
